model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0201,1,1,2,1,1
gemini-2.5-pro,0.9352,2,1,2,1,1
grok-4-0709,0.679,3,3,9,3,1
chatgpt-4o-latest-20250326,0.6435,4,3,8,3,3
grok-3-preview-02-24,0.5537,5,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5373,6,3,12,3,3
o3-2025-04-16,0.527,7,3,12,3,3
llama-4-maverick-03-26-experimental,0.5046,8,3,12,4,3
gemini-2.5-flash,0.5027,9,4,12,4,3
deepseek-r1-0528,0.4293,10,5,14,5,4
gemini-2.5-flash-preview-04-17,0.3115,11,10,22,10,8
qwen3-235b-a22b-no-thinking,0.2847,12,11,22,11,10
claude-opus-4-20250514,0.2703,13,11,22,11,10
claude-opus-4-20250514-thinking-16k,0.2701,14,11,22,11,10
kimi-k2-0711-preview,0.2624,15,10,26,11,10
gpt-4.1-2025-04-14,0.2489,16,11,24,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2266,17,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.2009,18,11,26,11,11
qwen3-235b-a22b-instruct-2507,0.1858,19,10,32,10,4
qwen3-235b-a22b,0.1828,20,11,28,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1561,21,8,36,10,3
hunyuan-turbos-20250416,0.1146,22,11,32,12,11
deepseek-v3-0324,0.1099,23,15,31,16,13
mistral-medium-2505,0.107,24,16,31,16,14
o4-mini-2025-04-16,0.1015,25,16,31,16,14
qwen-max-2025-01-25,0.0908,26,16,31,16,13
grok-3-mini-beta,0.0435,27,18,33,19,16
minimax-m1,0.0156,28,20,34,20,18
grok-3-mini-high,-0.001,29,19,35,20,16
claude-sonnet-4-20250514,-0.0048,30,20,34,20,19
gemma-3-27b-it,-0.0245,31,21,35,21,20
gpt-4.1-mini-2025-04-14,-0.091,32,24,38,24,23
qwq-32b,-0.1547,33,27,41,29,24
gemini-2.0-flash-001,-0.1607,34,28,41,30,25
qwen3-30b-a3b,-0.2017,35,31,41,31,28
o3-mini,-0.2118,36,31,41,31,29
mistral-small-2506,-0.2353,37,31,43,31,26
command-a-03-2025,-0.2652,38,32,43,33,31
gpt-4o-2024-11-20,-0.2749,39,27,45,29,19
claude-3-7-sonnet-20250219,-0.2909,40,33,43,33,32
claude-3-7-sonnet-20250219-thinking-32k,-0.2918,41,33,43,33,32
claude-3-5-sonnet-20241022,-0.3823,42,37,44,37,34
amazon-nova-experimental-chat-05-14,-0.4343,43,37,46,38,35
llama-4-maverick-17b-128e-instruct,-0.5651,44,42,48,42,41
llama-4-scout-17b-16e-instruct,-0.5716,45,42,50,42,41
gemma-3n-e4b-it,-0.6429,46,43,52,44,42
magistral-medium-2506,-0.7101,47,44,52,44,42
llama-3.3-70b-instruct,-0.7549,48,45,52,45,44
mistral-small-3.1-24b-instruct-2503,-0.7596,49,45,52,45,44
amazon.nova-pro-v1:0,-0.8195,50,46,52,46,45
claude-3-5-haiku-20241022,-0.8277,51,46,52,46,46
gpt-4o-mini-2024-07-18,-0.8392,52,44,52,44,41
