id,score
sample_1,0.6976792538909891
sample_2,0.5698036866207502
sample_3,0.6679610136692435
sample_4,0.4700974043614399
sample_5,0.5307113990354448
sample_6,0.8458665996877015
sample_7,0.8309181121704414
sample_8,0.7544506427209114
sample_9,0.44183837185592956
sample_10,0.6462394636730667
sample_11,0.5162500167009924
sample_12,0.8764799880681647
sample_13,0.6124416799656097
sample_14,0.5371378433827676
sample_15,0.7044694247682136
sample_16,0.6039768314748082
sample_17,0.922561586530556
sample_18,0.5897783653698714
sample_19,0.4901157611163053
sample_20,0.3770629726363726
sample_21,0.6953820246379877
sample_22,0.615710482921311
sample_23,0.485664309023241
sample_24,0.8783839691883677
sample_25,0.8000867721143863
sample_26,0.6957673181594155
sample_27,0.90464893662563
sample_28,0.7993804050097919
sample_29,0.5765716147722351
sample_30,0.544116975401385
sample_31,0.8226972316680792
sample_32,0.7594550434701026
sample_33,0.7254621651955993
sample_34,0.5730253295696639
sample_35,0.791192135050863
sample_36,0.5866751675299076
sample_37,0.6847020018109483
sample_38,0.917041621958047
sample_39,0.6008748646284781
sample_40,0.4640516114390708
sample_41,0.5421179212194834
sample_42,0.8491448240031434
sample_43,0.7382096706070314
sample_44,0.6806683931966869
sample_45,0.6236359292032645
sample_46,0.7728039861329785
sample_47,0.5726342723514665
sample_48,0.7458498352963894
sample_49,0.5903118146780564
sample_50,0.5653510922087419
sample_51,0.6043768847762482
sample_52,0.6436888830274057
sample_53,0.6926755246099445
sample_54,0.7353183692666672
sample_55,0.1467452062857334
sample_56,0.5788524163379852
sample_57,0.641264503396594
sample_58,0.9257593057912494
sample_59,0.5379996087426802
sample_60,0.7244194927149868
sample_61,0.9242545464603755
sample_62,0.503054720507909
sample_63,0.7590962838796603
sample_64,0.5796592249098219
sample_65,0.6243049386566147
sample_66,0.5795333749070027
sample_67,0.5902214037376171
sample_68,1.1082868221859739
sample_69,0.8266683808107498
sample_70,0.8652606792679313
sample_71,0.7737990230254743
sample_72,0.4590614817397063
sample_73,0.759243695548496
sample_74,0.860939442176102
sample_75,0.5719900788941332
sample_76,0.844799000074169
sample_77,0.8056504314781118
sample_78,0.9778060067220504
sample_79,0.6373325481229571
sample_80,0.535358352658641
sample_81,0.6457557835941181
sample_82,0.9153356489745434
sample_83,0.4257391178737055
