respondent_id,age_group,Q1_satisfaction,Q2_satisfaction,Q3_satisfaction,Q4_satisfaction,Q5_satisfaction
R00001,26-35,3,4,3,2,1
R00002,46-55,5,4,4,3,3
R00003,46-55,4,3,3,4,2
R00004,36-45,3,3,3,3,2
R00005,18-25,2,3,4,3,1
R00006,36-45,3,4,3,2,2
R00007,55+,4,3,2,2,2
R00008,26-35,5,3,3,2,2
R00009,18-25,4,2,3,3,3
R00010,55+,3,5,3,3,3
R00011,18-25,3,3,5,2,1
R00012,26-35,4,4,3,3,2
R00013,26-35,4,3,1,3,1
R00014,36-45,3,3,3,2,2
R00015,46-55,4,4,2,2,2
R00016,36-45,3,5,3,3,2
R00017,46-55,3,4,2,3,2
R00018,26-35,4,4,2,3,3
R00019,55+,5,4,2,4,2
R00020,46-55,5,4,3,4,2
R00021,26-35,4,3,3,3,2
R00022,36-45,4,4,3,2,1
R00023,36-45,5,4,3,2,1
R00024,36-45,4,4,2,2,3
R00025,36-45,4,3,3,3,1
R00026,55+,4,3,4,4,1
R00027,26-35,4,4,3,3,2
R00028,36-45,4,2,3,3,2
R00029,36-45,5,5,2,2,2
R00030,36-45,4,3,2,3,3
R00031,46-55,4,4,3,3,2
R00032,46-55,3,3,4,1,2
R00033,46-55,4,3,3,2,2
R00034,26-35,5,3,4,3,2
R00035,18-25,4,4,4,3,3
R00036,55+,5,4,3,2,2
R00037,18-25,4,4,3,1,1
R00038,36-45,4,4,3,2,2
R00039,55+,5,3,2,2,1
R00040,55+,4,4,3,2,4
R00041,18-25,4,5,3,3,1
R00042,26-35,5,4,4,3,2
R00043,55+,5,4,2,3,2
R00044,55+,5,4,3,1,2
R00045,55+,5,2,4,2,2
R00046,26-35,4,3,4,2,2
R00047,18-25,5,4,4,3,3
R00048,55+,4,3,3,3,3
R00049,55+,4,4,4,3,3
R00050,55+,3,5,2,2,1
R00051,26-35,3,4,2,2,2
R00052,55+,3,4,3,2,2
R00053,18-25,5,4,1,3,2
R00054,18-25,2,3,4,2,3
R00055,55+,4,3,4,3,2
R00056,46-55,2,3,3,3,2
R00057,26-35,3,5,3,2,2
R00058,18-25,4,4,3,2,1
R00059,55+,5,4,3,1,2
R00060,26-35,4,4,3,2,2
R00061,46-55,3,2,3,2,1
R00062,46-55,5,4,3,1,3
R00063,18-25,4,3,4,2,1
R00064,55+,4,3,3,3,2
R00065,55+,3,3,3,3,2
R00066,18-25,3,4,4,2,3
R00067,26-35,3,4,2,3,2
R00068,18-25,4,5,3,2,3
R00069,18-25,4,3,4,3,3
R00070,36-45,5,4,2,4,2
R00071,55+,4,4,3,3,1
R00072,18-25,2,2,3,3,1
R00073,18-25,4,3,2,2,2
R00074,46-55,3,3,3,3,2
R00075,46-55,3,4,3,1,3
R00076,46-55,3,4,3,2,3
R00077,26-35,4,3,5,3,2
R00078,36-45,3,3,2,3,1
R00079,26-35,4,5,4,3,2
R00080,46-55,3,4,3,3,1
R00081,46-55,4,3,2,2,1
R00082,26-35,5,4,3,3,1
R00083,18-25,3,4,3,2,2
R00084,55+,4,3,4,2,3
R00085,18-25,2,4,4,3,2
R00086,46-55,4,3,5,3,2
R00087,36-45,4,4,3,1,1
R00088,18-25,5,4,3,3,2
R00089,55+,4,4,3,3,1
R00090,46-55,5,3,3,2,2
R00091,55+,5,3,4,4,2
R00092,36-45,5,4,2,2,3
R00093,55+,4,3,5,2,2
R00094,55+,3,4,4,2,2
R00095,36-45,4,3,2,2,2
R00096,46-55,3,4,2,2,4
R00097,36-45,4,3,4,1,3
R00098,18-25,3,3,4,2,2
R00099,55+,4,4,2,2,2
R00100,36-45,5,4,4,3,2
R00101,55+,4,3,2,4,1
R00102,18-25,3,5,3,4,2
R00103,26-35,5,4,4,2,1
R00104,46-55,3,3,3,2,2
R00105,26-35,4,4,2,2,1
R00106,18-25,4,3,3,4,3
R00107,46-55,4,4,3,2,3
R00108,36-45,4,3,3,2,2
R00109,55+,4,4,2,2,2
R00110,55+,4,3,2,3,2
R00111,36-45,4,4,1,3,2
R00112,26-35,4,3,3,2,3
R00113,46-55,4,3,3,3,1
R00114,55+,5,4,2,1,1
R00115,18-25,4,5,3,3,3
R00116,55+,5,3,4,3,2
R00117,46-55,4,4,3,2,1
R00118,18-25,4,4,3,2,1
R00119,18-25,4,4,3,1,1
R00120,18-25,3,3,2,4,1
R00121,46-55,4,3,5,2,2
R00122,55+,4,2,3,3,2
R00123,18-25,4,3,3,3,2
R00124,26-35,4,4,4,4,1
R00125,36-45,4,3,3,2,2
R00126,18-25,5,4,3,2,2
R00127,36-45,5,3,3,3,2
R00128,46-55,4,4,2,3,3
R00129,26-35,3,4,3,2,2
R00130,36-45,5,3,3,2,1
R00131,46-55,3,4,3,1,2
