race_id,contestant_1,contestant_2,contestant_3,contestant_4,contestant_5,contestant_6,contestant_7
race_001,1,6,2,4,5,3,7
race_002,1,2,4,3,6,7,5
race_003,3,1,2,4,5,6,7
,2,3,1,6,4,5,7
,1,4,5,2,3,6,7
,4,1,2,3,5,6,7
race_007,3,2,1,5,7,4,6
race_008,1,4,6,2,5,3,7
race_009,3,2,1,4,6,5,7
,1,2,5,3,4,7,6
race_011,3,1,2,4,5,7,6
race_012,2,1,6,4,3,5,7
race_013,1,2,3,6,5,4,7
race_014,3,1,2,7,6,5,4
race_015,3,1,2,6,4,7,5
race_016,2,3,1,6,4,7,5
race_017,2,1,3,6,5,7,4
race_018,4,2,1,6,5,3,7
,1,2,3,5,4,7,6
,2,4,1,3,5,7,6
race_021,2,1,3,4,6,5,7
,2,3,4,1,6,5,7
race_023,2,3,1,4,5,6,7
race_024,5,1,2,4,6,3,7
,2,1,3,4,6,7,5
,1,2,3,5,7,4,6
race_027,2,1,3,4,5,7,6
race_028,4,1,5,3,2,6,7
race_029,1,2,4,3,6,7,5
race_030,2,1,7,6,5,3,4
race_031,2,1,3,5,4,6,7
race_032,1,2,4,5,3,6,7
race_033,3,2,1,4,6,5,7
,1,6,3,2,4,5,7
,1,3,2,4,6,5,7
,3,4,2,1,5,6,7
race_037,1,2,4,3,5,6,7
race_038,1,3,2,5,4,6,7
race_039,2,6,4,3,1,7,5
race_040,1,3,6,2,4,5,7
,2,1,6,3,4,5,7
,2,1,3,4,5,7,6
,2,1,4,5,3,6,7
race_044,1,2,4,5,3,7,6
race_045,1,3,2,4,5,6,7
,3,1,2,4,5,7,6
race_047,2,5,3,1,6,4,7
race_048,2,6,5,7,3,1,4
race_049,1,2,3,4,5,6,7
race_050,1,2,4,3,7,5,6
race_051,1,2,5,4,3,7,6
race_052,1,3,2,6,5,4,7
,1,3,2,5,4,6,7
,1,2,3,4,5,6,7
race_055,1,5,3,2,7,4,6
race_056,4,2,1,3,6,7,5
,1,2,7,3,4,6,5
race_058,4,1,6,3,7,2,5
race_059,3,2,1,4,5,6,7
race_060,1,3,2,5,4,7,6
race_061,1,4,3,6,2,7,5
race_062,3,2,1,4,5,7,6
race_063,2,5,6,1,3,4,7
race_064,5,3,2,1,4,6,7
,1,2,4,5,3,6,7
race_066,2,6,5,1,3,7,4
,1,2,4,3,6,5,7
