task_type,player_1,player_2,player_3,player_4
task_A,1.0,,0.0,
task_A,1.0,0.0,,
task_A,,,1.0,0.0
task_B,,,1.0,0.0
task_A,1.0,,,0.0
task_B,1.0,,0.0,
task_B,1.0,0.0,,
task_A,1.0,,0.0,
task_B,,1.0,0.0,
task_B,1.0,,0.0,
task_B,1.0,0.0,,
task_A,,,0.0,1.0
task_A,,1.0,0.0,
task_A,0.0,,,1.0
task_A,,0.0,1.0,
task_B,,0.0,1.0,
task_A,1.0,,0.0,
task_A,,,1.0,0.0
task_B,0.0,,1.0,
task_A,,,1.0,0.0
task_A,,0.0,,1.0
task_A,,1.0,0.0,
task_B,1.0,,,0.0
task_A,,1.0,0.0,
task_B,1.0,0.0,,
task_B,,,0.0,1.0
task_B,1.0,,0.0,
task_B,,,1.0,0.0
task_B,,0.0,1.0,
task_A,0.0,,1.0,
task_B,,,0.0,1.0
task_B,1.0,,0.0,
task_B,0.0,1.0,,
task_A,,0.0,1.0,
task_B,1.0,,0.0,
task_B,0.0,,,1.0
task_A,0.0,,1.0,
task_B,1.0,,,0.0
task_B,0.0,,1.0,
task_A,,1.0,0.0,
task_B,,1.0,,0.0
task_A,1.0,,,0.0
task_B,,1.0,0.0,
task_B,,1.0,0.0,
task_B,1.0,,,0.0
task_A,1.0,0.0,,
task_A,,1.0,0.0,
task_A,1.0,,0.0,
task_A,1.0,0.0,,
task_B,1.0,,0.0,
task_A,,,1.0,0.0
task_A,,0.0,1.0,
task_A,1.0,,,0.0
task_B,0.0,,,1.0
task_B,,1.0,,0.0
task_B,,,0.0,1.0
task_B,1.0,,,0.0
task_B,0.0,,1.0,
task_A,,1.0,0.0,
task_A,1.0,,,0.0
task_B,1.0,0.0,,
task_B,1.0,,,0.0
task_A,0.0,,,1.0
task_B,1.0,0.0,,
task_B,1.0,,,0.0
task_A,1.0,,,0.0
task_B,,1.0,,0.0
task_B,,1.0,,0.0
task_B,1.0,,,0.0
task_B,1.0,0.0,,
task_A,1.0,,0.0,
task_B,1.0,,0.0,
task_A,1.0,0.0,,
task_B,1.0,,,0.0
task_B,0.0,,1.0,
task_B,1.0,,,0.0
task_A,,1.0,0.0,
task_B,0.0,1.0,,
task_B,,0.0,1.0,
task_B,0.0,,1.0,
task_A,,0.0,1.0,
task_B,,1.0,,0.0
task_A,1.0,,,0.0
task_A,1.0,,,0.0
task_B,1.0,,0.0,
task_A,1.0,,,0.0
task_A,,0.0,,1.0
task_B,,,0.0,1.0
task_A,0.0,,1.0,
task_B,,,1.0,0.0
task_A,,1.0,,0.0
task_A,1.0,,0.0,
task_B,,1.0,0.0,
task_B,1.0,,0.0,
task_B,,,1.0,0.0
task_A,1.0,,,0.0
task_B,0.0,,1.0,
task_B,,0.0,1.0,
task_B,,1.0,0.0,
task_B,,,0.0,1.0
task_B,0.0,,1.0,
task_B,1.0,0.0,,
task_B,,1.0,,0.0
task_A,,1.0,0.0,
task_B,1.0,0.0,,
task_A,,1.0,0.0,
task_A,,,1.0,0.0
task_B,1.0,0.0,,
task_A,,1.0,,0.0
task_A,,1.0,0.0,
task_A,,1.0,,0.0
task_A,0.0,1.0,,
task_A,1.0,,,0.0
task_A,,1.0,,0.0
task_A,0.0,1.0,,
task_A,,1.0,,0.0
task_A,1.0,0.0,,
task_A,,,1.0,0.0
task_B,0.0,,1.0,
task_A,1.0,,0.0,
task_A,0.0,,1.0,
task_B,,1.0,,0.0
task_B,,1.0,0.0,
task_B,0.0,1.0,,
task_A,,1.0,,0.0
task_A,1.0,,,0.0
task_A,,1.0,,0.0
task_B,,,1.0,0.0
task_A,0.0,,1.0,
task_A,,,1.0,0.0
task_B,,,0.0,1.0
task_B,1.0,0.0,,
task_B,,,1.0,0.0
task_A,,1.0,0.0,
task_A,,,1.0,0.0
task_A,,0.0,1.0,
task_A,,1.0,0.0,
task_B,,1.0,0.0,
task_A,,1.0,0.0,
task_A,1.0,,0.0,
task_B,,1.0,0.0,
