domain,algorithm_A,algorithm_B,algorithm_C,algorithm_D
medicine,0.8633658322862242,0.7221720275771414,0.6139992383653711,0.5448078341012892
chemistry,0.9176762103250264,0.926774097283106,0.7230130665366569,0.6532380382587621
biology,0.9022350554966366,0.855850724626148,0.6755658130783208,0.5420536705904069
biology,0.801334097227589,0.7512016960105834,0.5204698818954125,0.6848109104105553
physics,0.9626877063529022,0.5853373194649508,0.6262427970805964,0.554001780172314
chemistry,0.8951234348156885,0.7647348362394831,0.5998166360106948,0.606216744758866
physics,0.80114709921341,0.7768296720200092,0.4588800444727279,0.4676485053215543
biology,1.0,0.883388439997104,0.5643057100096128,0.5014287211883989
physics,0.9476430166717125,0.9255113842906779,0.6149793011316868,0.5910944403839475
medicine,0.8846739446600694,0.6981679487522919,0.621838240184149,0.6612978170593055
medicine,1.0,0.846784843065485,0.48511019096560243,0.5729236949310753
biology,1.0,0.8432068822680017,0.7484998916380808,0.4916828228065381
physics,0.8854650577686115,0.8740079369077113,0.6231230274441895,0.6377335029528342
chemistry,0.9347397486434762,0.8165356578802212,0.6370886409993896,0.2808021343720119
chemistry,0.8011997181997059,0.5724168975704897,0.673397497167317,0.3577765498493126
physics,0.8852807249231989,0.7511244234138907,0.5545257079429662,0.5681634223668389
chemistry,0.880093744624013,0.6510959091749752,0.6789689306466029,0.5014108356253125
medicine,0.9184827033621654,0.7464060893748593,0.596625868731515,0.5605513651124165
medicine,0.9332760478637011,0.8646670902800562,0.5436747792686142,0.5064407522431942
chemistry,0.955982844882806,0.7971817502541639,0.6906780826688732,0.5570945694603873
medicine,0.9237642656299959,0.88147575330641,0.782500719213514,0.4185597179006809
biology,0.7789257373370836,0.8008420587380206,0.7058162706819164,0.5570486086079691
biology,0.8061532894258915,0.6368340726997764,0.7256310898473763,0.5994414528207584
medicine,0.8453592380536328,0.5145819660093933,0.5812702726771034,0.6220550603931233
biology,0.8717759408076772,0.7815475428346258,0.4735713604164876,0.70135542946487
physics,1.0,0.7452740200315502,0.7823470855433174,0.5244098443502386
biology,0.7837061013147087,0.6689720927284785,0.8387848222738092,0.5273911086847178
medicine,0.8642584951829301,0.596603941701529,0.7876140107103016,0.34768275358261524
medicine,0.995300949821405,0.6931923453193958,0.5997547394353583,0.4468588598861575
physics,0.8700122525503388,0.7472175181801891,0.5178698994604489,0.48069179259933875
chemistry,0.9460415649842824,0.8332544490373057,0.5267650635513766,0.6050319552276355
chemistry,0.8860457957072096,0.7855297748234648,0.4649600765719284,0.4388998875910371
biology,0.9256783257324723,0.9274733913839396,0.6225954714923287,0.5796340019748832
biology,0.877152745619046,0.6631062610621272,0.7939011291415787,0.49983782830366197
chemistry,0.9667065472728354,0.8547725558724101,0.6191670701461089,0.4822831884885238
physics,0.7454943592593565,0.7713965409795395,0.6635656233681608,0.5248893969133257
biology,0.8636687991611455,0.8361335790785251,0.7708930297637542,0.46088436277471573
physics,0.9296572676694308,0.7230151803401124,0.5929238021500933,0.4570962751907334
biology,0.9533695248006193,0.8738347040557257,0.8368864790052928,0.3295214094209885
medicine,1.0,0.796189142501191,0.8325427740830786,0.47520457926721105
physics,0.8608975333134423,0.6987221681748917,0.620222199465285,0.45200318538512735
medicine,1.0,0.7654642637753479,0.575579906931412,0.44840190106509203
medicine,0.834097617334033,0.7427110807729568,0.7030571379723646,0.5416873062590041
biology,1.0,0.815584501730446,0.5985808390814475,0.5658631952790509
chemistry,0.9817467126698373,0.6486889917292158,0.5176778116265996,0.5232194504642328
physics,0.8086541420367778,0.7637314964550973,0.7614571986856313,0.5995415190449475
physics,0.9307039237251822,0.8061973919315998,0.7549780720610413,0.5575561925830366
biology,0.8948764164467808,0.76996899738597,0.6488844937096894,0.4704943810194358
medicine,0.9625584593675001,0.9013607911055663,0.5070468579605155,0.453714371428562
physics,0.8776728411566691,0.844068944073772,0.5103807082115946,0.5312822236766847
chemistry,0.8692753774338269,0.7659185869925921,0.6440562621752486,0.55737671099019
chemistry,1.0,0.788335576416434,0.58334622988283,0.6397844307031498
medicine,0.8901279105544327,0.7962332218148667,0.5992240401191725,0.6191173044940096
physics,0.9826422324191767,0.8069966270833491,0.7355296488393337,0.44585269934928307
biology,0.8774648514955801,0.5841008671002059,0.7066512650755891,0.48979937198727386
medicine,1.0,0.736514037089732,0.7711476013830946,0.567101780491777
physics,0.8321665370664507,0.6182227598473241,0.5342710109956075,0.6067997778058972
chemistry,0.8385856468752816,0.8944947614126154,0.5990141764646622,0.5938969468704792
medicine,1.0,0.7605817146663739,0.7092315028793446,0.49361221671686534
